title,variant,price,imgUrl,link,l1,l2,l3,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
【单对价格】单颗钻石耳钉，6种尺寸可选，金属耳堵（非纯银）。泰国现货发货。,银色（透明钻石），0.2厘米,0.14,https://cf.shopee.co.th/file/th-11134207-7r98o-ll12tid3afakad,http://shopee.co.th/product/21597509/245607847,时尚配饰,耳环,,IVCN202607160415,141779859198,https://detail.1688.com/offer/694581256384.html,0.14,2026/7/21,245607847,,,3
【单对价格】单颗钻石耳钉，6种尺寸可选，金属耳堵（非纯银）。泰国现货发货。,银色（透明钻石），0.25厘米,0.24,https://cf.shopee.co.th/file/th-11134207-7r98o-ll12tid3afakad,http://shopee.co.th/product/21597509/245607847,时尚配饰,耳环,,IVCN202607160415,141779859190,https://detail.1688.com/offer/694581256384.html,0.24,2026/7/21,245607847,,,3
【单对价格】单颗钻石耳钉，6种尺寸可选，金属耳堵（非纯银）。泰国现货发货。,银色（透明钻石），0.3厘米,1,https://cf.shopee.co.th/file/th-11134207-7r98o-ll12tid3afakad,http://shopee.co.th/product/21597509/245607847,时尚配饰,耳环,,IVCN202607160415,415810630081,https://detail.1688.com/offer/802305324270.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1,2026/7/21,245607847,,,3
100% 正品 卡西欧 G-SHOCK GA-700-1B 全黑,100% 正品 卡西欧 G-SHOCK GA-700-1B 全黑,35,https://cf.shopee.com.my/file/my-11134207-7qul1-lh7g2z2pr4l2a4,http://shopee.com.my/product/6773722/291193658,手表,男士手表,,IVCN202607170001,61055221764,https://detail.1688.com/offer/649729287880.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i17&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,35,2026/7/21,291193658,,,1
光滑牛皮腰带，缝线精美，宽 1.1 英寸，一体式皮带扣。适合工作或正式场合。,黑色，M码（32-36码，衣长41英寸）,7.8,https://cf.shopee.co.th/file/4e0df99eb97a6a7e688d064a62f6c06c,http://shopee.co.th/product/28266999/371141447,时尚配饰,腰带,,IVCN202607160421,14170251483,https://detail.1688.com/offer/986609424286.html?spm=a26352.b28411319.offerlist.15.3d531e62SPjgWm,7.8,2026/7/21,371141447,,,1
100% 原装卡西欧 G-SHOCK 正品 DW-6900UMS-1DR LED 白光哑光黑,DW-6900UMS-1 LED灯,23,https://cf.shopee.com.my/file/my-11134207-7r98t-ltlu4mxzeq6sc4,http://shopee.com.my/product/6773722/373452568,手表,男士手表,,IVCN202607160425,232650919698,https://detail.1688.com/offer/912881883125.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i21&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,23,2026/7/21,373452568,,,1
20/100 个背靠背金属十字架,黄金，20件,0.34,https://cf.shopee.ph/file/ph-11134207-7r990-lwqtdhcz5mchcb,http://shopee.ph/product/30742133/428019187,时尚配饰,其他配件,饰品、挂饰和装饰品,IVCN202607160427,13057008067,https://detail.1688.com/offer/919695666967.html,2.4,2026/7/21,428019187,,,1
【A&j】ER-505 钻石时尚耳环..珠宝,【A&j】ER-505 钻石时尚耳环..珠宝,1.73,https://cf.shopee.ph/file/da7f8e0843a5fbf344b77f331c7e918a,http://shopee.ph/product/27407690/447991545,时尚配饰,耳环,,IVCN202607160431,22842486649,https://detail.1688.com/offer/959024425598.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bb405a417736289337185712e0d8e&token=6mht6JNOYbpc5r3hdRgjNHf5cQRqymja%2BXn514yFao2MS6jhPkxh%2BWm1VItRBPIC,6.8,2026/7/21,447991545,,,1
忍者风格的头巾/面罩，可防晒 - 方便徒步旅行和佩戴头盔时使用。,黑色 - SWAT F1,0.38,https://cf.shopee.vn/file/vn-11134207-81ztc-mohz6ujmueq5f3,http://shopee.vn/product/23918733/450721829,时尚配饰,其他配件,面具,IVCN202607160435,224692738001,https://detail.1688.com/offer/963619861399.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,4.2,2026/7/21,450721829,,,2
忍者风格的头巾/面罩，可防晒 - 方便徒步旅行和佩戴头盔时使用。,黑色 - SWAT 3合1,0.7,https://cf.shopee.vn/file/vn-11134207-81ztc-mohz1ob54c95b3,http://shopee.vn/product/23918733/450721829,时尚配饰,其他配件,面具,IVCN202607160435,188836291194,https://detail.1688.com/offer/963619861399.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,4.2,2026/7/21,450721829,,,2
